-0.204124145231931 - 0.295033236141022i
0.312601295626455 - 0.166620861803005i
-0.574508908067969 - 0.306910791434156i
-0.292201883775856 + 0.802220749643946i
-1.17546489162231 + 0.0207643532430545i
-0.668676270319968 - 1.10795765193603i
-0.568838624765984 + 1.07531583801200i
0.966796170314090 + 0.0246855905628811i
0.119573155869050 + 0.696923425058676i
-0.726626520867172 + 0.100008023274264i
0.415477709183412 + 0.904931633582140i
0.666072886555244 - 1.01206549506542i
1.26698222303569 - 0.112281684656443i
0.862166671462904 + 0.813627037108565i
-0.00342184668383419 - 1.02265688125425i
-0.619609537966336 + 0.617882450895421i
-0.816496580927726 + 0.00000000000000i
-0.617882450895421 - 0.619609537966336i
0.00342184668383451 + 1.02265688125425i
0.813627037108565 - 0.862166671462904i
1.26698222303569 - 0.112281684656442i
1.01206549506542 + 0.666072886555244i
-0.415477709183412 - 0.904931633582140i
0.100008023274264 + 0.726626520867172i
0.119573155869050 + 0.696923425058676i
-0.0246855905628811 + 0.966796170314090i
0.568838624765984 - 1.07531583801200i
-1.10795765193603 + 0.668676270319968i
-1.17546489162231 + 0.0207643532430546i
-0.853272026618481 - 0.371742271727776i
0.554344107113317 + 0.418878603304480i
-0.447194655622018 - 0.383166747101619i
-0.408248290463863 - 0.408248290463863i
-0.383166747101619 - 0.447194655622018i
0.418878603304480 + 0.554344107113317i
-0.371742271727776 - 0.853272026618481i
0.0207643532430545 - 1.17546489162231i
0.668676270319968 - 1.10795765193603i
-1.07531583801200 + 0.568838624765984i
0.966796170314090 - 0.0246855905628810i
0.696923425058676 + 0.119573155869050i
0.726626520867172 + 0.100008023274264i
-0.904931633582140 - 0.415477709183412i
0.666072886555244 + 1.01206549506542i
-0.112281684656443 + 1.26698222303569i
-0.862166671462904 + 0.813627037108565i
1.02265688125425 + 0.00342184668383451i
-0.619609537966336 - 0.617882450895421i
0.00000000000000 - 0.816496580927726i
0.617882450895421 - 0.619609537966336i
-1.02265688125425 - 0.00342184668383426i
0.813627037108565 + 0.862166671462904i
-0.112281684656442 + 1.26698222303569i
-1.01206549506542 + 0.666072886555243i
0.904931633582140 + 0.415477709183411i
0.100008023274264 - 0.726626520867172i
0.696923425058676 + 0.119573155869050i
0.0246855905628811 + 0.966796170314090i
1.07531583801200 - 0.568838624765984i
-1.10795765193603 - 0.668676270319968i
0.0207643532430546 - 1.17546489162231i
0.853272026618480 - 0.371742271727776i
-0.418878603304480 - 0.554344107113317i
-0.447194655622018 + 0.383166747101619i
-0.408248290463863 - 0.408248290463863i
0.383166747101619 - 0.447194655622018i
-0.554344107113317 - 0.418878603304480i
-0.371742271727776 + 0.853272026618481i
-1.17546489162231 + 0.0207643532430545i
-0.668676270319968 - 1.10795765193603i
-0.568838624765984 + 1.07531583801200i
0.966796170314090 + 0.0246855905628811i
0.119573155869050 + 0.696923425058676i
-0.726626520867172 + 0.100008023274264i
0.415477709183412 + 0.904931633582140i
0.666072886555244 - 1.01206549506542i
1.26698222303569 - 0.112281684656443i
0.862166671462904 + 0.813627037108565i
-0.00342184668383419 - 1.02265688125425i
-0.619609537966336 + 0.617882450895421i
-0.816496580927726 + 0.00000000000000i
-0.617882450895421 - 0.619609537966336i
0.00342184668383451 + 1.02265688125425i
0.813627037108565 - 0.862166671462904i
1.26698222303569 - 0.112281684656442i
1.01206549506542 + 0.666072886555244i
-0.415477709183412 - 0.904931633582140i
0.100008023274264 + 0.726626520867172i
0.119573155869050 + 0.696923425058676i
-0.0246855905628811 + 0.966796170314090i
0.568838624765984 - 1.07531583801200i
-1.10795765193603 + 0.668676270319968i
-1.17546489162231 + 0.0207643532430546i
